paragraph_arr,freq,title,rank,meaning,example,sentence,rating
GAUGE,6,6,36,"Estimate or determine the magnitude, amount, or volume of.",astronomers can gauge the star's intrinsic brightness,Statistics is the resource we rely on to gauge probability,4
TINY,6,6,36,Very small.,a tiny hummingbird,,4
CONSTITUENT,6,6,36,A member of a constituency.,They said the terms in office of legislators depended solely on the acceptance of their constituents who elected their representatives every five years.,The politician’s job is to make decisions while balancing the needs of the various constituents to achieve a reasonable outcome,4
PORTIONS,6,6,36,Divide (something) into parts; share out.,every month you send the agency a single payment that is portioned out to each of your creditors until your debts are paid off,This helps me quickly spot important portions when I refer to the paper later,4
CATEGORIZE,6,6,36,Place in a particular class or group.,odors have been categorized into only seven basic groups,"Articles on the website are categorized by topic (environment, economy, abortion, etc…) and by political leaning (left, center, and right)",4
DISRUPTIVE,6,6,36,Causing or tending to cause disruption.,the hours of work are disruptive to home life,Artificial Intelligence (AI) has massive potential to drive disruptive innovations affecting most enterprises on the planet,4
CORRESPOND,6,6,36,Have a close similarity; match or agree almost exactly.,the carved heads described in the poem correspond to those in the drawing,"Upon initial analysis, we can conclude that if a given node N has its corresponding P-value as NULL it is the root",4
DEMONSTRATED,6,6,36,"Give a practical exhibition and explanation of (how a machine, skill, or craft works or is performed)",computerized design methods will be demonstrated,"As both of these examples have demonstrated, sometimes it’s not such an easy task and many data scientists often fall short in this regard",4
ARGUABLY,6,6,36,It may be argued (used to qualify the statement of an opinion or belief),she is arguably the greatest woman tennis player of all time,"In 2020, Public Health applications of GIS is arguably the most mainstream application at the moment",4
SOLE,6,6,36,Put a new sole on to (a shoe),he wanted several pairs of boots to be soled and heeled,You’d be forgiven for thinking automation would make data scientists obsolete,4
TEMPLATE,6,6,36,"A shaped piece of metal, wood, card, plastic, or other material used as a pattern for processes such as painting, cutting out, shaping, or drilling.","Templates, patterns, and drawings guarantee consistency and could be used for generations.","There is no specific template for solving any data science problem (otherwise, you’d see it in the first textbook you come across)",4
CONSOLE,6,6,36,Comfort (someone) at a time of grief or disappointment.,she tried to console him but he pushed her gently away,I like to think of it as a really sophisticated console combined with REPL programming,4
SLIDES,6,6,36,Move smoothly along a surface while maintaining continuous contact with it.,she slid down the bank into the water,"It can be used inside R Markdown and has very intuitive HTML shortcuts to allow you to create a nested, logical structure of pretty slides with a variety of styling options",4
GENUINELY,6,6,36,In a truthful way.,they speak genuinely about how proud they are,It's hard to overstate to power of being genuinely you,4
CONSEQUENTLY,6,6,36,As a result.,"flexible workers find themselves in great demand, and consequently earn high salaries",,4
QUALIFICATION,6,6,36,A quality or accomplishment that makes someone suitable for a particular job or activity.,only one qualification required—a fabulous sense of humor,The assumption in the above paragraphs is that technical qualification is a requirement for such a body,4
INTENTIONALLY,6,6,36,Deliberately; on purpose.,I didn't do it intentionally,"As an introductory article, I have intentionally left out any mention of the Internet of Things (IoT)",4
ACCOMPLISHED,6,6,36,Highly trained or skilled.,an accomplished pianist,"In RCloud, every notebook is named by a URL, so converting collaborative work into reports and recommendations is accomplished by sharing (e",4
NOTABLE,6,6,36,A famous or important person.,businessmen and local notables,People in various industries are increasingly interested in using data science to learn more about notable trends that improve their decision-making,4
GATHERED,6,6,36,Come together; assemble or accumulate.,"as soon as a crowd gathered, the police came","Now that we’ve gathered our sources, it’s time to start learning",4
CONSTRAINED,6,6,36,Appearing forced or overly controlled.,he was acting in a constrained manner,I love this example because the team didn’t feel constrained to try to fit the square peg into the round “Machine Learning” hole,4
CASUAL,6,6,36,A person who does something irregularly.,a number of casuals became regular customers,When there is no design (as in casual data collection) or the design used is not consistent with the project goals (prospective vs,4
TOMORROW,6,6,36,On the day after today.,I'll see you tomorrow,"For example, forecasts of tomorrow’s stock prices are much less accurate because factors 1 and 3 above are not satisfied",4
